iter	MultiClass
0	1.375875977
50	1.148785809
100	1.089994167
150	1.066131456
200	1.052678246
250	1.043473401
300	1.036370707
350	1.030603014
400	1.025786647
450	1.0213595
500	1.017111313
550	1.013128905
600	1.00949748
650	1.005680677
700	1.001913007
750	0.9982776547
800	0.9945467148
850	0.9908467479
900	0.9874144526
950	0.9840546555
1000	0.9805587742
1050	0.9772814774
1100	0.9740609705
1150	0.9707970793
1200	0.9676847231
1250	0.9646423282
1300	0.9616728357
1350	0.9584427429
1400	0.9554461641
1450	0.9524841413
1500	0.9495433812
1550	0.946730707
1600	0.9439101918
1650	0.9412804911
1700	0.9385368169
1750	0.9360623189
1800	0.9335202939
1850	0.9308414358
1900	0.9281655539
1950	0.9255431577
1999	0.9231252533
